date,channelGrouping,medium,source,deviceCategory,sessions,users
2019-10-09,Direct,(none),(direct),desktop,2,2
2019-10-13,Direct,(none),(direct),desktop,2,2
2019-10-13,Direct,(none),(direct),tablet,2,2
2019-10-17,Direct,(none),(direct),desktop,2,2
2019-10-23,Paid Search,cpc,facebook,desktop,2,2
2019-10-15,Paid Search,cpc,pinterest,tablet,2,2
2019-10-16,Paid Search,cpc,pinterest,tablet,2,2
2019-10-19,Paid Search,cpc,pinterest,tablet,2,2
2019-09-22,Email,email,newsletter,mobile,2,2
2019-09-23,Email,email,newsletter,mobile,2,1
2019-09-24,Social,referral,facebook.com,desktop,2,2
2019-09-26,Social,referral,facebook.com,desktop,2,2
2019-09-28,Social,referral,facebook.com,desktop,2,2
2019-10-02,Social,referral,facebook.com,desktop,2,2
2019-10-06,Social,referral,facebook.com,mobile,2,2
2019-10-07,Social,referral,facebook.com,mobile,2,2
2019-10-09,Social,referral,facebook.com,desktop,2,2
2019-10-09,Social,referral,facebook.com,mobile,2,2
2019-10-10,Social,referral,facebook.com,mobile,2,2
2019-10-11,Social,referral,facebook.com,desktop,2,2
2019-10-14,Social,referral,facebook.com,mobile,2,2
2019-10-17,Social,referral,facebook.com,mobile,2,2
2019-10-21,Social,referral,facebook.com,desktop,2,2
2019-10-24,Social,referral,facebook.com,mobile,2,2
2019-10-28,Social,referral,facebook.com,desktop,2,2
2019-10-29,Social,referral,facebook.com,desktop,2,2
2019-10-13,Social,referral,instagram.com,mobile,2,2
2019-10-17,Social,referral,instagram.com,mobile,2,2
2019-09-22,Social,referral,pinterest.com,mobile,2,2
2019-10-08,Social,referral,pinterest.com,mobile,2,2
2019-10-10,Social,referral,pinterest.com,mobile,2,2
2019-10-11,Social,referral,pinterest.com,tablet,2,2
2019-10-17,Social,referral,pinterest.com,mobile,2,2
2019-10-21,Social,referral,pinterest.com,mobile,2,2
2019-10-22,Social,referral,pinterest.com,mobile,2,2
2019-10-27,Social,referral,pinterest.com,mobile,2,2
2019-10-09,Social,referral,l.facebook.com,mobile,2,2
2019-10-20,Social,referral,l.facebook.com,desktop,2,2
2019-10-05,Social,referral,m.facebook.com,mobile,2,2
2019-10-18,Social,referral,m.facebook.com,tablet,2,2
2019-09-30,Social,referral,l.instagram.com,desktop,2,2
2019-10-04,Social,referral,l.instagram.com,desktop,2,2
2019-10-09,Social,referral,l.instagram.com,tablet,2,2
2019-10-16,Social,referral,l.instagram.com,desktop,2,2
2019-10-16,Social,referral,l.instagram.com,tablet,2,2
2019-10-23,Social,referral,l.instagram.com,mobile,2,2
2019-10-27,Social,referral,l.instagram.com,desktop,2,2
2019-10-25,Social,referral,lm.facebook.com,mobile,2,2
2019-10-12,Social,referral,br.pinterest.com,desktop,2,1
2019-10-11,Social,referral,tr.pinterest.com,desktop,2,1
2019-09-22,Referral,referral,invitadaperfecta.es,mobile,2,2
2019-09-26,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,2,1
2019-10-05,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,2,1
2019-10-06,Referral,referral,2mrmh.r.a.d.sendibm1.com,desktop,2,2
2019-10-06,Referral,referral,2mrmh.r.a.d.sendibm1.com,tablet,2,2
2019-10-07,Referral,referral,2mrmh.r.a.d.sendibm1.com,tablet,2,2
2019-10-25,Referral,referral,bfjcihf.r.bh.d.sendibt3.com,mobile,2,1
2019-10-26,Referral,referral,bfjcihf.r.bh.d.sendibt3.com,mobile,2,1
2019-09-22,Organic Search,organic,google,desktop,3,3
2019-09-30,Organic Search,organic,google,tablet,3,3
2019-10-07,Organic Search,organic,google,desktop,3,1
2019-10-07,Organic Search,organic,google,tablet,3,3
2019-10-14,Organic Search,organic,google,tablet,3,3
2019-10-19,Organic Search,organic,google,desktop,3,3
2019-10-20,Organic Search,organic,google,desktop,3,3
2019-10-21,Paid Search,cpc,google,tablet,3,3
2019-10-23,Paid Search,cpc,google,desktop,3,3
2019-10-23,Paid Search,cpc,google,tablet,3,3
2019-10-26,Organic Search,organic,google,desktop,3,3
2019-10-28,Paid Search,cpc,google,tablet,3,3
2019-10-29,Paid Search,cpc,google,desktop,3,3
2019-09-23,Direct,(none),(direct),desktop,3,2
2019-09-24,Direct,(none),(direct),desktop,3,3
2019-09-29,Direct,(none),(direct),desktop,3,3
2019-09-30,Direct,(none),(direct),desktop,3,2
2019-10-04,Direct,(none),(direct),desktop,3,3
2019-10-15,Direct,(none),(direct),tablet,3,3
2019-10-22,Direct,(none),(direct),desktop,3,1
2019-10-26,Paid Search,cpc,facebook,desktop,3,3
2019-10-26,Paid Search,cpc,facebook,tablet,3,3
2019-10-27,Paid Search,cpc,facebook,desktop,3,3
2019-10-27,Paid Search,cpc,facebook,tablet,3,3
2019-10-29,Paid Search,cpc,facebook,tablet,3,3
2019-09-23,Social,referral,facebook.com,desktop,3,3
2019-10-20,Social,referral,facebook.com,desktop,3,3
2019-10-23,Social,referral,facebook.com,desktop,3,3
2019-09-24,Social,referral,instagram.com,mobile,3,3
2019-09-29,Social,referral,instagram.com,mobile,3,3
2019-10-05,Social,referral,instagram.com,mobile,3,3
2019-10-06,Social,referral,pinterest.com,mobile,3,3
2019-10-12,Social,referral,pinterest.com,mobile,3,3
2019-10-12,Social,referral,pinterest.com,tablet,3,2
2019-10-26,Social,referral,pinterest.com,mobile,3,3
2019-09-23,Referral,referral,sis.redsys.es,desktop,3,1
2019-10-17,Social,referral,l.facebook.com,desktop,3,3
2019-09-21,Social,referral,m.facebook.com,mobile,3,3
2019-09-22,Social,referral,m.facebook.com,mobile,3,3
2019-09-24,Social,referral,m.facebook.com,mobile,3,3
2019-09-28,Social,referral,m.facebook.com,mobile,3,3
2019-10-25,Social,referral,m.facebook.com,tablet,3,3
2019-10-19,Social,referral,l.instagram.com,mobile,3,3
2019-09-21,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,3,1
2019-09-28,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,3,1
2019-09-30,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,3,1
2019-10-01,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,3,1
2019-10-10,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,3,3
2019-10-16,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,3,1
2019-09-21,Organic Search,organic,google,desktop,4,4
2019-09-25,Organic Search,organic,google,desktop,4,4
2019-09-26,Organic Search,organic,google,desktop,4,4
2019-09-27,Organic Search,organic,google,desktop,4,3
2019-09-28,Organic Search,organic,google,desktop,4,1
2019-10-05,Organic Search,organic,google,tablet,4,4
2019-10-14,Paid Search,cpc,google,desktop,4,4
2019-10-21,Organic Search,organic,google,desktop,4,3
2019-10-22,Organic Search,organic,google,desktop,4,3
2019-10-24,Paid Search,cpc,google,desktop,4,3
2019-10-26,Paid Search,cpc,google,tablet,4,4
2019-10-29,Organic Search,organic,google,desktop,4,4
2019-09-22,Direct,(none),(direct),desktop,4,3
2019-09-30,Direct,(none),(direct),tablet,4,4
2019-10-02,Direct,(none),(direct),desktop,4,4
2019-10-13,Direct,(none),(direct),mobile,4,4
2019-10-14,Direct,(none),(direct),tablet,4,3
2019-10-23,Paid Search,cpc,facebook,mobile,4,4
2019-09-25,Social,referral,facebook.com,desktop,4,4
2019-09-30,Social,referral,facebook.com,desktop,4,4
