date,channelGrouping,medium,source,deviceCategory,sessions,users
2019-09-22,Social,referral,instagram.com,tablet,1,1
2019-10-09,Social,referral,instagram.com,tablet,1,1
2019-09-25,Social,referral,pinterest.com,mobile,1,1
2019-09-28,Social,referral,pinterest.com,mobile,1,1
2019-09-29,Social,referral,pinterest.com,mobile,1,1
2019-10-05,Social,referral,pinterest.com,mobile,1,1
2019-10-09,Social,referral,pinterest.com,mobile,1,1
2019-10-09,Social,referral,pinterest.com,tablet,1,1
2019-10-15,Social,referral,pinterest.com,mobile,1,1
2019-10-16,Social,referral,pinterest.com,tablet,1,1
2019-10-19,Social,referral,pinterest.com,mobile,1,1
2019-10-20,Social,referral,pinterest.com,tablet,1,1
2019-10-24,Social,referral,pinterest.com,mobile,1,1
2019-10-28,Social,referral,pinterest.com,mobile,1,1
2019-10-29,Social,referral,pinterest.com,mobile,1,1
2019-09-21,Referral,referral,sis.redsys.es,desktop,1,1
2019-09-22,Referral,referral,sis.redsys.es,desktop,1,1
2019-10-01,Referral,referral,sis.redsys.es,desktop,1,1
2019-10-02,Referral,referral,sis.redsys.es,desktop,1,1
2019-10-06,Referral,referral,sis.redsys.es,desktop,1,1
2019-10-07,Referral,referral,sis.redsys.es,desktop,1,1
2019-10-09,Referral,referral,sis.redsys.es,desktop,1,1
2019-10-10,Referral,referral,sis.redsys.es,desktop,1,1
2019-09-22,Social,referral,l.facebook.com,mobile,1,1
2019-09-23,Social,referral,l.facebook.com,mobile,1,1
2019-09-25,Social,referral,l.facebook.com,mobile,1,1
2019-09-27,Social,referral,l.facebook.com,mobile,1,1
