Date,Symbol,Open,High,Low,Close,Volume_BTC,Volume_USD
2017-08-13,BTCUSD,3863.3,4174.48,3843.72,4046.34,14120.46,56816704.32
2017-01-20,BTCUSD,901.75,906.56,885.01,899.53,3193.55,2868680.69
2016-04-06,BTCUSD,422.48,423.28,422.3,422.82,1184.0,500636.53
2016-01-02,BTCUSD,434.55,439.53,432.7,435.75,107.57,46885.15
2016-07-17,BTCUSD,663.84,687.56,663.84,678.34,1145.73,778228.53
2016-04-30,BTCUSD,455.91,456.78,448.24,450.3,289.92,131025.36
2015-12-13,BTCUSD,435.0,441.53,422.0,435.9,120.12,52006.96
2018-12-05,BTCUSD,3903.94,3916.74,3667.19,3691.92,4204.35,15906060.83
2018-12-25,BTCUSD,4036.0,4046.24,3680.0,3777.97,5009.32,18935262.68
2016-07-01,BTCUSD,673.43,693.31,668.6,680.96,1702.24,1154838.66
2019-05-31,BTCUSD,8273.76,8554.96,8114.72,8516.2,2416.2,20222979.67
2015-12-02,BTCUSD,363.01,364.03,349.0,361.18,422.45,151625.88
2018-10-10,BTCUSD,6593.48,6593.48,6450.0,6529.75,2347.72,15290847.01
2019-04-18,BTCUSD,5246.1,5315.48,5226.96,5283.73,1658.46,8737964.94
2016-07-21,BTCUSD,664.86,667.31,660.02,665.86,712.51,473882.2
2016-05-30,BTCUSD,519.29,542.81,516.63,532.66,368.0,195825.92
2018-03-09,BTCUSD,9295.77,9409.21,8370.0,9257.0,11095.65,98510525.38
2018-03-10,BTCUSD,9257.0,9515.21,8731.0,8769.2,4581.91,42340279.46
2019-10-06,BTCUSD,8150.97,8169.73,7778.7,7860.01,999.06,7921427.26
2018-12-17,BTCUSD,3193.0,3584.99,3183.07,3502.84,7868.65,26979715.65
2017-05-28,BTCUSD,2096.77,2323.99,2095.61,2230.77,4915.8,10885221.21
2018-07-17,BTCUSD,6729.22,7464.98,6657.66,7322.78,4768.21,33441709.84
2019-02-02,BTCUSD,3441.87,3484.99,3412.18,3469.06,691.13,2379749.27
2019-03-13,BTCUSD,3862.12,3869.99,3826.0,3850.96,2056.16,7919141.59
2017-09-08,BTCUSD,4623.19,4669.98,4000.0,4346.24,14814.56,64259227.44
2018-10-21,BTCUSD,6413.23,6463.98,6404.99,6412.64,376.58,2422470.08
2017-10-03,BTCUSD,4385.7,4417.98,4104.51,4300.0,5092.08,21933517.41
2017-07-23,BTCUSD,2838.07,2849.99,2668.05,2761.45,9717.0,26910949.71
2017-06-19,BTCUSD,2519.87,2594.99,2491.12,2594.99,6321.09,16129629.04
2017-07-26,BTCUSD,2558.27,2599.99,2401.01,2524.52,14675.09,36524447.82
2019-05-08,BTCUSD,5745.0,5989.98,5653.65,5935.1,1892.96,11041418.25
2017-07-30,BTCUSD,2706.14,2749.99,2600.0,2749.99,5230.52,14086858.98
2019-02-11,BTCUSD,3647.21,3649.99,3578.01,3588.58,3356.7,12072097.28
2018-12-04,BTCUSD,3835.01,4034.99,3730.52,3903.94,4672.7,18173530.7
2017-09-20,BTCUSD,3903.4,4034.99,3828.93,3866.0,6216.14,24528663.28
