AlbumID_Rank,Artist,Album,Release_Year,Spotify_Album,Description,wiki,Duration,Minutes,Seconds,Total_Seconds,Label,Sub_Metal_Genre,Rating,Rolling_Stone_Rating
78,Voivod,Dimension Hatross,1988,3fZhCgsoPILz28vPNTh55Y,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/voivod-dimension-hatrss-1988-w487135,https://en.wikipedia.org/wiki/Dimension_Hatr%C3%B6ss,41:39:00,41,39,2499,Noise,Thrash Metal,4,AllMusic
63,Sodom,Agent Orange,1989,711uqE9rCwxC8iOeAHOL8Z,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/sodom-agent-orange-1989-w487126,https://en.wikipedia.org/wiki/Agent_Orange_(album),40:15:00,40,15,2415,Sledgehammer,Thrash Metal,4.5,AllMusic
74,Venom,Welcome to Hell,1981,5oxowPycWCoLyE5nf0ZGmX,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/venom-welcome-to-hell-1981-w487134,https://en.wikipedia.org/wiki/Welcome_to_Hell,39:28:00,39,28,2368,Neat,Thrash Metal,4.5,AllMusic
2,Metallica,Master of Puppets,1986,41bTjcSaiEe4G40RVVHbux,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-master-of-puppets-1986-w487055,https://en.wikipedia.org/wiki/Master_of_Puppets,54:50:00,54,50,3290,Elektra,Thrash Metal,5,Rolling Stone
7,Motorhead,No Remorse,1984,7J23uT5PzXYpSawvwQNCbp,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/motrhead-no-remorse-1984-w487065,https://en.wikipedia.org/wiki/No_Remorse_(Mot%C3%B6rhead_album),85:51:00,85,51,5151,Mercury,Thrash Metal,5,AllMusic
80,Ministry,Psalm 69: The Way to Succeed and the Way to Suck Eggs,1992,2wz3P1w89gQd3iXdmF1IA5,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/ministry-psalm-69-the-way-to-succeed-and-the-way-to-suck-eggs-1992-w487060,https://en.wikipedia.org/wiki/Psalm_69:_The_Way_to_Succeed_and_the_Way_to_Suck_Eggs,44:45:00,44,45,2685,Sire,Industrial Metal,4,Rolling Stone
64,Godflesh,Streetcleaner,1989,5fRIh0Yk4eFLst6Nj7RUDF,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/godflesh-streetcleaner-1989-w486990,https://en.wikipedia.org/wiki/Streetcleaner_(album),66:26:00,66,26,3986,Earache,Industrial Metal,4.5,AllMusic
68,Marilyn Manson,Portrait of an American Family,1994,1SmsWlQZojAXz5H0i26bRl,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/marilyn-manson-portrait-of-an-american-family-1994-w487028,https://en.wikipedia.org/wiki/Portrait_of_an_American_Family,61:04:00,61,4,3664,Interscope,Alternative Metal,2,Rolling Stone
66,Deftones,White Pony,2000,5LEXck3kfixFaA3CqVE7bC,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/deftones-white-pony-2000-w486972,https://en.wikipedia.org/wiki/White_Pony,45:16:00,45,16,2716,Maverick,Alternative Metal,3,Rolling Stone
93,White Zombie,La Sexorcisto: Devil Music Vol. 1,1992,6Cvv0qNSdZNf9o0j8EohoD,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/white-zombie-la-sexorcisto-devil-music-volume-one-1992-w487139,https://en.wikipedia.org/wiki/La_Sexorcisto:_Devil_Music_Volume_One,57:43:00,57,43,3463,Geffen,Alternative Metal,3,Rolling Stone
